Models,Accuracy,F1_score
Logistic Regression,0.9220119981541302,0.9220119981541302
knn,0.9160129210890632,0.9160129210890632
SVM,0.9353945546838948,0.9353945546838948
Random Forest,0.928011075219197,0.928011075219197
Gradient Boosting,0.9289340101522843,0.9289340101522843
